word,freq_approx,freq_approx,error
the,3478,3542,1.8401380103507763
to,2852,2867,0.5259467040673211
and,2821,2852,1.098901098901099
of,2683,2694,0.40998881848676855
a,1632,1639,0.42892156862745096
in,1429,1462,2.309307207837649
was,1335,1368,2.4719101123595504
her,1200,1230,2.5
had,1184,1229,3.800675675675676
she,1132,1150,1.5901060070671378
it,1024,1046,2.1484375
i,1001,1046,4.495504495504496
